step 0 layer number:0  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:1  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:2  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:3  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:4  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:5  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:6  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:7  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:8  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:9  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:10  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:11  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:12  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:13  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:14  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:15  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:16  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:17  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:18  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:19  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:20  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:21  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:22         UnitName  BlockTemperature
0          GX0_T1              45.0
1          GX1_T1              45.0
2          GX2_T1              45.0
3          CORE_2              45.0
4            L3_2              45.0
5         DDR0_T1              45.0
6          CORE_3              45.0
7            L3_3              45.0
8         DDR1_T1              45.0
9       DE_SA0_T1              45.0
10      DE_SA1_T1              45.0
11        DDR2_T1              45.0
12  DISP_PCIE0_T1              45.0
13  DISP_PCIE1_T1              45.0
14        DDR3_T1              45.0
layer number:23  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:24  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:25  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:26  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:27  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:28  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:29  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:30  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:31  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:32  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:33  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:34  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:35  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:36  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:37  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:38  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:39  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:40  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:41  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:42  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:43  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:44  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:45  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:46  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:47  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:48         UnitName  BlockTemperature
0          GX0_T0              45.0
1          GX1_T0              45.0
2          GX2_T0              45.0
3          CORE_0              45.0
4            L3_0              45.0
5         DDR0_T0              45.0
6          CORE_1              45.0
7            L3_1              45.0
8         DDR1_T0              45.0
9       DE_SA0_T0              45.0
10      DE_SA1_T0              45.0
11        DDR2_T0              45.0
12  DISP_PCIE0_T0              45.0
13  DISP_PCIE1_T0              45.0
14        DDR3_T0              45.0
layer number:49  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:50  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:51  UnitName  BlockTemperature
0   Unit_0              45.0
step 1 layer number:0  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:1  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:2  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:3  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:4  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:5  UnitName  BlockTemperature
0   Unit_0              45.0
layer number:6  UnitName  BlockTemperature
0   Unit_0              45.0
