UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
Block_0,0,0,0.02,0.006,,Si
Block_1,0,0.006,0.006,0.0005,,Si
Block_2,0.006,0.006,0.0005,0.0005,,Si
Block_3,0.0065,0.006,0.007,0.0005,,Si
Block_4,0.0135,0.006,0.0005,0.0005,,Si
Block_5,0.014,0.006,0.006,0.0005,,Si
Block_6,0,0.0065,0.02,0.007,,Si
Block_7,0,0.0135,0.006,0.0005,,Si
Block_8,0.006,0.0135,0.0005,0.0005,,Si
Block_9,0.0065,0.0135,0.007,0.0005,,Si
Block_10,0.0135,0.0135,0.0005,0.0005,,Si
Block_11,0.014,0.0135,0.006,0.0005,,Si
Block_12,0,0.014,0.02,0.006,,Si
