step 0 layer number:0  UnitName  BlockTemperature
0  Block_0              45.0
1  Block_1              45.0
2  Block_2              45.0
3  Block_3              45.0
4  Block_4              45.0
layer number:1  UnitName  BlockTemperature
0  Block_0              45.0
1  Block_1              45.0
2  Block_2              45.0
3  Block_3              45.0
4  Block_4              45.0
step 1 layer number:0  UnitName  BlockTemperature
0  Block_0              45.0
1  Block_1              45.0
2  Block_2              45.0
3  Block_3              45.0
4  Block_4              45.0
layer number:1  UnitName  BlockTemperature
0  Block_0              45.0
1  Block_1              45.0
2  Block_2              45.0
3  Block_3              45.0
4  Block_4              45.0
step 2 layer number:0  UnitName  BlockTemperature
0  Block_0             45.01
1  Block_1             45.00
2  Block_2             45.01
3  Block_3             45.00
4  Block_4             45.00
layer number:1  UnitName  BlockTemperature
0  Block_0              45.0
1  Block_1              45.0
2  Block_2              45.0
3  Block_3              45.0
4  Block_4              45.0
step 3 layer number:0  UnitName  BlockTemperature
0  Block_0             45.05
1  Block_1             45.00
2  Block_2             45.05
3  Block_3             45.00
4  Block_4             45.00
layer number:1  UnitName  BlockTemperature
0  Block_0             45.02
1  Block_1             45.00
2  Block_2             45.02
3  Block_3             45.00
4  Block_4             45.00
step 4 layer number:0  UnitName  BlockTemperature
0  Block_0             45.22
1  Block_1             45.01
2  Block_2             45.22
3  Block_3             45.01
4  Block_4             45.01
layer number:1  UnitName  BlockTemperature
0  Block_0             45.10
1  Block_1             45.01
2  Block_2             45.10
3  Block_3             45.01
4  Block_4             45.01
step 5 layer number:0  UnitName  BlockTemperature
0  Block_0             45.81
1  Block_1             45.07
2  Block_2             45.85
3  Block_3             45.07
4  Block_4             45.07
layer number:1  UnitName  BlockTemperature
0  Block_0             45.41
1  Block_1             45.05
2  Block_2             45.44
3  Block_3             45.05
4  Block_4             45.05
step 6 layer number:0  UnitName  BlockTemperature
0  Block_0             47.75
1  Block_1             45.35
2  Block_2             47.98
3  Block_3             45.35
4  Block_4             45.35
layer number:1  UnitName  BlockTemperature
0  Block_0             46.46
1  Block_1             45.22
2  Block_2             46.61
3  Block_3             45.22
4  Block_4             45.22
