step 1 layer number:0  UnitName  BlockTemperature
0  Block_0             45.22
1  Block_1             45.22
2  Block_2             48.40
3  Block_3             45.22
4  Block_4             45.22
layer number:1  UnitName  BlockTemperature
0  Block_0             45.00
1  Block_1             45.00
2  Block_2             45.04
3  Block_3             45.00
4  Block_4             45.00
layer number:2  UnitName  BlockTemperature
0  Block_0              45.0
1  Block_1              45.0
2  Block_2              45.0
3  Block_3              45.0
4  Block_4              45.0
step 2 layer number:0  UnitName  BlockTemperature
0  Block_0             45.51
1  Block_1             45.51
2  Block_2             49.30
3  Block_3             45.51
4  Block_4             45.51
layer number:1  UnitName  BlockTemperature
0  Block_0             45.03
1  Block_1             45.03
2  Block_2             45.20
3  Block_3             45.03
4  Block_4             45.03
layer number:2  UnitName  BlockTemperature
0  Block_0              45.0
1  Block_1              45.0
2  Block_2              45.0
3  Block_3              45.0
4  Block_4              45.0
step 3 layer number:0  UnitName  BlockTemperature
0  Block_0             45.64
1  Block_1             45.64
2  Block_2             50.52
3  Block_3             45.64
4  Block_4             45.64
layer number:1  UnitName  BlockTemperature
0  Block_0             45.07
1  Block_1             45.07
2  Block_2             45.33
3  Block_3             45.07
4  Block_4             45.07
layer number:2  UnitName  BlockTemperature
0  Block_0              45.0
1  Block_1              45.0
2  Block_2              45.0
3  Block_3              45.0
4  Block_4              45.0
step 4 layer number:0  UnitName  BlockTemperature
0  Block_0             46.03
1  Block_1             46.03
2  Block_2             53.83
3  Block_3             46.03
4  Block_4             46.03
layer number:1  UnitName  BlockTemperature
0  Block_0             45.13
1  Block_1             45.13
2  Block_2             45.56
3  Block_3             45.13
4  Block_4             45.13
layer number:2  UnitName  BlockTemperature
0  Block_0             45.00
1  Block_1             45.00
2  Block_2             45.01
3  Block_3             45.00
4  Block_4             45.00
step 5 layer number:0  UnitName  BlockTemperature
0  Block_0             46.37
1  Block_1             46.37
2  Block_2             55.57
3  Block_3             46.37
4  Block_4             46.37
layer number:1  UnitName  BlockTemperature
0  Block_0             45.22
1  Block_1             45.22
2  Block_2             45.84
3  Block_3             45.22
4  Block_4             45.22
layer number:2  UnitName  BlockTemperature
0  Block_0             45.01
1  Block_1             45.01
2  Block_2             45.02
3  Block_3             45.01
4  Block_4             45.01
step 6 layer number:0  UnitName  BlockTemperature
0  Block_0             46.60
1  Block_1             46.60
2  Block_2             56.33
3  Block_3             46.60
4  Block_4             46.60
layer number:1  UnitName  BlockTemperature
0  Block_0             45.32
1  Block_1             45.32
2  Block_2             46.13
3  Block_3             45.32
4  Block_4             45.32
layer number:2  UnitName  BlockTemperature
0  Block_0             45.01
1  Block_1             45.01
2  Block_2             45.03
3  Block_3             45.01
4  Block_4             45.01
step 7 layer number:0  UnitName  BlockTemperature
0  Block_0             46.82
1  Block_1             46.82
2  Block_2             57.09
3  Block_3             46.82
4  Block_4             46.82
layer number:1  UnitName  BlockTemperature
0  Block_0             45.43
1  Block_1             45.43
2  Block_2             46.42
3  Block_3             45.43
4  Block_4             45.43
layer number:2  UnitName  BlockTemperature
0  Block_0             45.01
1  Block_1             45.01
2  Block_2             45.04
3  Block_3             45.01
4  Block_4             45.01
step 8 layer number:0  UnitName  BlockTemperature
0  Block_0             46.96
1  Block_1             46.96
2  Block_2             57.40
3  Block_3             46.96
4  Block_4             46.96
layer number:1  UnitName  BlockTemperature
0  Block_0             45.54
1  Block_1             45.54
2  Block_2             46.68
3  Block_3             45.54
4  Block_4             45.54
layer number:2  UnitName  BlockTemperature
0  Block_0             45.02
1  Block_1             45.02
2  Block_2             45.05
3  Block_3             45.02
4  Block_4             45.02
step 9 layer number:0  UnitName  BlockTemperature
0  Block_0             47.10
1  Block_1             47.10
2  Block_2             57.69
3  Block_3             47.10
4  Block_4             47.10
layer number:1  UnitName  BlockTemperature
0  Block_0             45.66
1  Block_1             45.66
2  Block_2             46.93
3  Block_3             45.66
4  Block_4             45.66
layer number:2  UnitName  BlockTemperature
0  Block_0             45.03
1  Block_1             45.03
2  Block_2             45.07
3  Block_3             45.03
4  Block_4             45.03
step 10 layer number:0  UnitName  BlockTemperature
0  Block_0             47.23
1  Block_1             47.23
2  Block_2             57.99
3  Block_3             47.23
4  Block_4             47.23
layer number:1  UnitName  BlockTemperature
0  Block_0             45.78
1  Block_1             45.78
2  Block_2             47.18
3  Block_3             45.78
4  Block_4             45.78
layer number:2  UnitName  BlockTemperature
0  Block_0             45.04
1  Block_1             45.04
2  Block_2             45.08
3  Block_3             45.04
