step 1 layer number:0         UnitName  BlockTemperature
0   MemController              45.0
1           Core0              45.0
2            L3_0              45.0
3            L3_1              45.0
4           Core1              45.0
5            Si_0              45.0
6           Core2              45.0
7            L3_2              45.0
8            L3_3              45.0
9           Core3              45.0
10           Si_1              45.0
11          Core4              45.0
12           L3_4              45.0
13           L3_5              45.0
14          Core5              45.0
15           Si_2              45.0
16          Core6              45.0
17           L3_6              45.0
18           L3_7              45.0
19          Core7              45.0
20           Si_3              45.0
21          Core8              45.0
22           L3_8              45.0
23           L3_9              45.0
24          Core9              45.0
25           Si_4              45.0
26             IO              45.0
layer number:1         UnitName  BlockTemperature
0   MemController              45.0
1           Core0              45.0
2            L3_0              45.0
3            L3_1              45.0
4           Core1              45.0
5            Si_0              45.0
6           Core2              45.0
7            L3_2              45.0
8            L3_3              45.0
9           Core3              45.0
10           Si_1              45.0
11          Core4              45.0
12           L3_4              45.0
13           L3_5              45.0
14          Core5              45.0
15           Si_2              45.0
16          Core6              45.0
17           L3_6              45.0
18           L3_7              45.0
19          Core7              45.0
20           Si_3              45.0
21          Core8              45.0
22           L3_8              45.0
23           L3_9              45.0
24          Core9              45.0
25           Si_4              45.0
26             IO              45.0
step 2 layer number:0         UnitName  BlockTemperature
0   MemController             64.65
1           Core0             70.12
2            L3_0             58.15
3            L3_1             55.07
4           Core1             65.76
5            Si_0             53.81
6           Core2             70.12
7            L3_2             58.15
8            L3_3             55.07
9           Core3             65.76
10           Si_1             53.81
11          Core4             64.96
12           L3_4             55.55
13           L3_5             51.49
14          Core5             57.37
15           Si_2             50.57
16          Core6             55.47
17           L3_6             50.76
18           L3_7             47.59
19          Core7             48.80
20           Si_3             47.07
21          Core8             48.71
22           L3_8             47.34
23           L3_9             46.40
24          Core9             46.78
25           Si_4             45.99
26             IO             47.02
layer number:1         UnitName  BlockTemperature
0   MemController             55.88
1           Core0             58.76
2            L3_0             52.61
3            L3_1             51.03
4           Core1             55.38
5            Si_0             50.41
6           Core2             58.76
7            L3_2             52.61
8            L3_3             51.03
9           Core3             55.38
10           Si_1             50.41
11          Core4             56.30
12           L3_4             51.30
13           L3_5             49.15
14          Core5             51.73
15           Si_2             48.65
16          Core6             51.42
17           L3_6             48.70
18           L3_7             46.93
19          Core7             47.65
20           Si_3             46.60
21          Core8             47.69
22           L3_8             46.72
23           L3_9             46.03
24          Core9             46.24
25           Si_4             45.79
26             IO             46.42
