UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
MemController,0,0,14.64e-3,3.59e-3,,Si
Core0,0,3.59e-3,3.59e-3,1.95e-3,,Si
L3_0,3.59e-3,3.59e-3,2.41e-3,1.95e-3,,Si
L3_1,6e-3,3.59e-3,2.41e-3,1.95e-3,,Si
Core1,8.41e-3,3.59e-3,3.59e-3,1.95e-3,,Si
Si_0,12e-3,3.59e-3,2.64e-3,1.95e-3,,Si
Core2,0,5.54e-3,3.59e-3,1.95e-3,,Si
L3_2,3.59e-3,5.54e-3,2.41e-3,1.95e-3,,Si
L3_3,6e-3,5.54e-3,2.41e-3,1.95e-3,,Si
Core3,8.41e-3,5.54e-3,3.59e-3,1.95e-3,,Si
Si_1,12e-3,5.54e-3,2.64e-3,1.95e-3,,Si
Core4,0,7.49e-3,3.59e-3,1.95e-3,,Si
L3_4,3.59e-3,7.49e-3,2.41e-3,1.95e-3,,Si
L3_5,6e-3,7.49e-3,2.41e-3,1.95e-3,,Si
Core5,8.41e-3,7.49e-3,3.59e-3,1.95e-3,,Si
Si_2,12e-3,7.49e-3,2.64e-3,1.95e-3,,Si
Core6,0,9.44e-3,3.59e-3,1.95e-3,,Si
L3_6,3.59e-3,9.44e-3,2.41e-3,1.95e-3,,Si
L3_7,6e-3,9.44e-3,2.41e-3,1.95e-3,,Si
Core7,8.41e-3,9.44e-3,3.59e-3,1.95e-3,,Si
Si_3,12e-3,9.44e-3,2.64e-3,1.95e-3,,Si
Core8,0,11.39e-3,3.59e-3,1.95e-3,,Si
L3_8,3.59e-3,11.39e-3,2.41e-3,1.95e-3,,Si
L3_9,6e-3,11.39e-3,2.41e-3,1.95e-3,,Si
Core9,8.41e-3,11.39e-3,3.59e-3,1.95e-3,,Si
Si_4,12e-3,11.39e-3,2.64e-3,1.95e-3,,Si
IO,0,13.34e-3,14.64e-3,3.46e-3,,Si
