step 1 layer number:0         UnitName  BlockTemperature
0   MemController              45.0
1           Core0              45.0
2            L3_0              45.0
3            L3_1              45.0
4           Core1              45.0
5            Si_0              45.0
6           Core2              45.0
7            L3_2              45.0
8            L3_3              45.0
9           Core3              45.0
10           Si_1              45.0
11          Core4              45.0
12           L3_4              45.0
13           L3_5              45.0
14          Core5              45.0
15           Si_2              45.0
16          Core6              45.0
17           L3_6              45.0
18           L3_7              45.0
19          Core7              45.0
20           Si_3              45.0
21          Core8              45.0
22           L3_8              45.0
23           L3_9              45.0
24          Core9              45.0
25           Si_4              45.0
26             IO              45.0
layer number:1         UnitName  BlockTemperature
0   MemController              45.0
1           Core0              45.0
2            L3_0              45.0
3            L3_1              45.0
4           Core1              45.0
5            Si_0              45.0
6           Core2              45.0
7            L3_2              45.0
8            L3_3              45.0
9           Core3              45.0
10           Si_1              45.0
11          Core4              45.0
12           L3_4              45.0
13           L3_5              45.0
14          Core5              45.0
15           Si_2              45.0
16          Core6              45.0
17           L3_6              45.0
18           L3_7              45.0
19          Core7              45.0
20           Si_3              45.0
21          Core8              45.0
22           L3_8              45.0
23           L3_9              45.0
24          Core9              45.0
25           Si_4              45.0
26             IO              45.0
