UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
unit_0,0.0,0.0,4.7435e-06,4.731e-06,,Si
unit_1,0.0,4.731e-06,4.7435e-06,4.731e-06,,Si
unit_2,0.0,9.462e-06,4.7435e-06,4.731e-06,,Si
unit_3,0.0,1.4193e-05,4.7435e-06,4.731e-06,,Si
unit_4,0.0,1.8924e-05,4.7435e-06,4.731e-06,,Si
unit_5,0.0,2.3655e-05,4.7435e-06,4.731e-06,,Si
unit_6,0.0,2.8386e-05,4.7435e-06,4.731e-06,,Si
unit_7,0.0,3.3117e-05,4.7435e-06,4.731e-06,,Si
unit_8,0.0,3.7848e-05,4.7435e-06,4.731e-06,,Si
unit_9,0.0,4.2579e-05,4.7435e-06,4.731e-06,,Si
unit_10,0.0,4.731e-05,4.7435e-06,4.731e-06,,Si
unit_11,0.0,5.2041e-05,4.7435e-06,4.731e-06,,Si
unit_12,0.0,5.6772e-05,4.7435e-06,4.731e-06,,Si
unit_13,0.0,6.1503e-05,4.7435e-06,4.731e-06,,Si
unit_14,0.0,6.6234e-05,4.7435e-06,4.731e-06,,Si
unit_15,0.0,7.0965e-05,4.7435e-06,4.731e-06,,Si
unit_16,0.0,7.5696e-05,4.7435e-06,4.731e-06,,Si
unit_17,0.0,8.0427e-05,4.7435e-06,4.731e-06,,Si
unit_18,0.0,8.5158e-05,4.7435e-06,4.731e-06,,Si
unit_19,0.0,8.9889e-05,4.7435e-06,4.731e-06,,Si
unit_20,0.0,9.462e-05,4.7435e-06,4.731e-06,,Si
unit_21,0.0,9.9351e-05,4.7435e-06,4.731e-06,,Si
unit_22,0.0,0.000104082,4.7435e-06,4.731e-06,,Si
unit_23,0.0,0.000108813,4.7435e-06,4.731e-06,,Si
unit_24,0.0,0.000113544,4.7435e-06,4.731e-06,,Si
unit_25,0.0,0.000118275,4.7435e-06,4.731e-06,,Si
unit_26,0.0,0.000123006,4.7435e-06,4.731e-06,,Si
unit_27,0.0,0.000127737,4.7435e-06,4.731e-06,,Si
unit_28,0.0,0.000132468,4.7435e-06,4.731e-06,,Si
unit_29,0.0,0.000137199,4.7435e-06,4.731e-06,,Si
unit_30,0.0,0.00014193,4.7435e-06,4.731e-06,,Si
unit_31,0.0,0.000146661,4.7435e-06,4.731e-06,,Si
unit_32,0.0,0.000151392,4.7435e-06,4.731e-06,,Si
unit_33,0.0,0.000156123,4.7435e-06,4.731e-06,,Si
unit_34,0.0,0.000160854,4.7435e-06,4.731e-06,,Si
unit_35,0.0,0.000165585,4.7435e-06,4.731e-06,,Si
unit_36,0.0,0.000170316,4.7435e-06,4.731e-06,,Si
unit_37,0.0,0.000175047,4.7435e-06,4.731e-06,,Si
unit_38,0.0,0.000179778,4.7435e-06,4.731e-06,,Si
unit_39,0.0,0.000184509,4.7435e-06,4.731e-06,,Si
unit_40,0.0,0.00018924,4.7435e-06,4.731e-06,,Si
unit_41,0.0,0.000193971,4.7435e-06,4.731e-06,,Si
unit_42,0.0,0.000198702,4.7435e-06,4.731e-06,,Si
unit_43,0.0,0.000203433,4.7435e-06,4.731e-06,,Si
unit_44,0.0,0.000208164,4.7435e-06,4.731e-06,,Si
unit_45,0.0,0.000212895,4.7435e-06,4.731e-06,,Si
unit_46,0.0,0.000217626,4.7435e-06,4.731e-06,,Si
unit_47,0.0,0.000222357,4.7435e-06,4.731e-06,,Si
unit_48,0.0,0.000227088,4.7435e-06,4.731e-06,,Si
unit_49,0.0,0.000231819,4.7435e-06,4.731e-06,,Si
unit_50,0.0,0.00023655,4.7435e-06,4.731e-06,,Si
unit_51,0.0,0.000241281,4.7435e-06,4.731e-06,,Si
unit_52,0.0,0.000246012,4.7435e-06,4.731e-06,,Si
unit_53,0.0,0.000250743,4.7435e-06,4.731e-06,,Si
unit_54,0.0,0.000255474,4.7435e-06,4.731e-06,,Si
unit_55,0.0,0.000260205,4.7435e-06,4.731e-06,,Si
unit_56,0.0,0.000264936,4.7435e-06,4.731e-06,,Si
unit_57,0.0,0.000269667,4.7435e-06,4.731e-06,,Si
unit_58,0.0,0.000274398,4.7435e-06,4.731e-06,,Si
unit_59,0.0,0.000279129,4.7435e-06,4.731e-06,,Si
unit_60,0.0,0.00028386,4.7435e-06,4.731e-06,,Si
unit_61,0.0,0.000288591,4.7435e-06,4.731e-06,,Si
unit_62,0.0,0.000293322,4.7435e-06,4.731e-06,,Si
unit_63,0.0,0.000298053,4.7435e-06,4.731e-06,,Si
unit_64,0.0,0.000302784,4.7435e-06,4.731e-06,,Si
unit_65,0.0,0.000307515,4.7435e-06,4.731e-06,,Si
unit_66,0.0,0.000312246,4.7435e-06,4.731e-06,,Si
unit_67,0.0,0.000316977,4.7435e-06,4.731e-06,,Si
unit_68,0.0,0.000321708,4.7435e-06,4.731e-06,,Si
unit_69,0.0,0.000326439,4.7435e-06,4.731e-06,,Si
unit_70,0.0,0.00033117,4.7435e-06,4.731e-06,,Si
unit_71,0.0,0.000335901,4.7435e-06,4.731e-06,,Si
unit_72,0.0,0.000340632,4.7435e-06,4.731e-06,,Si
unit_73,0.0,0.000345363,4.7435e-06,4.731e-06,,Si
unit_74,0.0,0.000350094,4.7435e-06,4.731e-06,,Si
unit_75,0.0,0.000354825,4.7435e-06,4.731e-06,,Si
