UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
EdgeL4_0,0.0,0.0,0.02,0.000968,,Cu
EdgeL4_1,0.0,0.000968,0.000968,0.018064,,Cu
EdgeL4_2,0.019032,0.000968,0.000968,0.018064,,Cu
EdgeL4_3,0.0,0.019032,0.02,0.000968,,Cu
L2_0,0.000968,0.000968,0.001129,0.000308,,Si
Core_0,0.000968,0.001276,0.001129,0.000821,,Si
L2_1,0.002097,0.000968,0.001129,0.000308,,Si
Core_1,0.002097,0.001276,0.001129,0.000821,,Si
L2_2,0.003226,0.000968,0.001129,0.000308,,Si
Core_2,0.003226,0.001276,0.001129,0.000821,,Si
L2_3,0.004355,0.000968,0.001129,0.000308,,Si
Core_3,0.004355,0.001276,0.001129,0.000821,,Si
L2_4,0.005484,0.000968,0.001129,0.000308,,Si
Core_4,0.005484,0.001276,0.001129,0.000821,,Si
L2_5,0.006613,0.000968,0.001129,0.000308,,Si
Core_5,0.006613,0.001276,0.001129,0.000821,,Si
L2_6,0.007742,0.000968,0.001129,0.000308,,Si
Core_6,0.007742,0.001276,0.001129,0.000821,,Si
L2_7,0.008871,0.000968,0.001129,0.000308,,Si
Core_7,0.008871,0.001276,0.001129,0.000821,,Si
L2_8,0.01,0.000968,0.001129,0.000308,,Si
Core_8,0.01,0.001276,0.001129,0.000821,,Si
L2_9,0.011129,0.000968,0.001129,0.000308,,Si
Core_9,0.011129,0.001276,0.001129,0.000821,,Si
L2_10,0.012258,0.000968,0.001129,0.000308,,Si
Core_10,0.012258,0.001276,0.001129,0.000821,,Si
L2_11,0.013387,0.000968,0.001129,0.000308,,Si
Core_11,0.013387,0.001276,0.001129,0.000821,,Si
L2_12,0.014516,0.000968,0.001129,0.000308,,Si
Core_12,0.014516,0.001276,0.001129,0.000821,,Si
L2_13,0.015645,0.000968,0.001129,0.000308,,Si
Core_13,0.015645,0.001276,0.001129,0.000821,,Si
L2_14,0.016774,0.000968,0.001129,0.000308,,Si
Core_14,0.016774,0.001276,0.001129,0.000821,,Si
L2_15,0.017903,0.000968,0.001129,0.000308,,Si
Core_15,0.017903,0.001276,0.001129,0.000821,,Si
L2_16,0.000968,0.002097,0.001129,0.000308,,Si
Core_16,0.000968,0.002405,0.001129,0.000821,,Si
L2_17,0.002097,0.002097,0.001129,0.000308,,Si
Core_17,0.002097,0.002405,0.001129,0.000821,,Si
L2_18,0.003226,0.002097,0.001129,0.000308,,Si
Core_18,0.003226,0.002405,0.001129,0.000821,,Si
L2_19,0.004355,0.002097,0.001129,0.000308,,Si
Core_19,0.004355,0.002405,0.001129,0.000821,,Si
L2_20,0.005484,0.002097,0.001129,0.000308,,Si
Core_20,0.005484,0.002405,0.001129,0.000821,,Si
L2_21,0.006613,0.002097,0.001129,0.000308,,Si
Core_21,0.006613,0.002405,0.001129,0.000821,,Si
L2_22,0.007742,0.002097,0.001129,0.000308,,Si
Core_22,0.007742,0.002405,0.001129,0.000821,,Si
L2_23,0.008871,0.002097,0.001129,0.000308,,Si
Core_23,0.008871,0.002405,0.001129,0.000821,,Si
L2_24,0.01,0.002097,0.001129,0.000308,,Si
Core_24,0.01,0.002405,0.001129,0.000821,,Si
L2_25,0.011129,0.002097,0.001129,0.000308,,Si
Core_25,0.011129,0.002405,0.001129,0.000821,,Si
L2_26,0.012258,0.002097,0.001129,0.000308,,Si
Core_26,0.012258,0.002405,0.001129,0.000821,,Si
L2_27,0.013387,0.002097,0.001129,0.000308,,Si
Core_27,0.013387,0.002405,0.001129,0.000821,,Si
L2_28,0.014516,0.002097,0.001129,0.000308,,Si
Core_28,0.014516,0.002405,0.001129,0.000821,,Si
